# coding: utf-8
# 置顶词库（与系统词条重码时居前）
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
# 
# ------------ 强调一下 ------------
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
# ---------------------------------------
#
# 分号冒号编码只能放此文件才能调频，如分号做次选需删除权重，外接键盘适用
;	100
；	;	90
# 如用户词无重或和系统词条重码时居前，则无需权重（如想居于系统词条后，请把词条放到flypy_user.txt文件内）
# 虽然文本码表编辑较为方便，但不适合导入大量条目
# 置顶用户词库，下一行开始添加，部署后生效

#词库
十	al	9
啊	a	9
阿	aa	9
腌	aao	9
吖	aak	9
嗄	aakw	9
阿	aae	9
阿	aaek	9
腌	aaod	9
昂	ah	9
盎	ahy	9
肮	aho	9
盎	ahym	9
肮	ahoj	9
昂	ahoe	9
爱	ai	9
哎	aikx	9
唉	aik	9
艾	aic	9
挨	aif	9
爱	aipy	9
埃	ait	9
矮	aiu	9
哀	aiw	9
癌	aib	9
嗳	aiky	9
碍	aiuc	9
暧	aio	9
嫒	ain	9
隘	aie	9
霭	aiy	9
蔼	aicv	9
皑	aibj	9
爱	aip	9
艾	aicx	9
矮	aiun	9
癌	aibe	9
暧	aioy	9
嫒	ainy	9
隘	aiem	9
霭	aiyv	9
安	an	9
按	anf	9
俺	anr	9
案	anb	9
暗	ano	9
安	anbn	9
岸	ane	9
庵	ang	9
胺	anon	9
氨	anq	9
黯	anh	9
鞍	angn	9
谙	any	9
铵	anj	9
桉	anm	9
鹌	and	9
按	anfn	9
俺	anrd	9
暗	anoo	9
岸	aneg	9
庵	angd	9
氨	anqn	9
黯	anho	9
谙	anyo	9
桉	anmn	9
鹌	andn	9
奥	ao	9
熬	aof	9
傲	aor	9
澳	aod	9
嗷	aok	9
奥	aopd	9
袄	aop	9
敖	aofw	9
凹	aol	9
拗	aofl	9
鳌	aofa	9
坳	aot	9
獒	aofq	9
翱	aob	9
螯	aofi	9
骜	aofm	9
懊	aox	9
遨	aoz	9
鏊	aofj	9
鏖	aog	9
熬	aofh	9
傲	aorw	9
澳	aodd	9
嗷	aokw	9
袄	aopy	9
凹	aola	9
坳	aotl	9
翱	aobx	9
懊	aoxd	9
遨	aozw	9
鏖	aogj	9
欸	ais	9
欸	aisr	9
瑷	aiwy	9
锕	aaj	9
锕	aajk	9
吖	aaky	9
啊	aakk	9
卬	ahp	9
卬	ahpe	9
嗌	aikm	9
砹	aiux	9
叆	aiey	9
锿	aij	9
锿	aijy	9
毐	aiuw	9
堨	aitv	9
埃	aitu	9
唵	ank	9
唵	ankd	9
埯	ant	9
犴	anqg	9
垵	antn	9
𩽾	ana	9
盦	anrm	9
聱	aofe	9
媪	aon	9
媪	aonm	9
璈	aow	9
璈	aoww	9
廒	aogw	9
岙	aoy	9
奡	aoa	9
奡	aoal	9
隩	aoe	9
隩	aoed	9
𬮿	aiej	9
捱	aift	9
安全	aq	9
按照	av	9
安排	ap	9
按错	ac	9
按时	au	9
安静	aj	9
昂贵	ag	9
安定	ad	9
安慰	aw	9
爱惜	ax	9
安保	ab	9
安分	af	9
拗口	ak	9
黯然	ar	9
暗算	as	9
凹凸	at	9
安逸	ay	9
暗自	az	9
暧昧	am	9
挨饿	ae	9
阿爸	aaba	9
阿伯	aabo	9
嗷嗷待哺	aadb	9
阿哥	aage	9
阿公	aags	9
啊哈	aaha	9
阿訇	aahs	9
暗暗称奇	aaiq	9
安安静静	aajj	9
阿拉	aala	9
阿妹	aamw	9
阿妈	aama	9
阿曼	aamj	9
阿门	aamf	9
阿婆	aapo	9
矮矮胖胖	aapp	9
安安全全	aaqq	9
阿嚏	aati	9
AA制	aavi	9
安安稳稳	aaww	9
阿姨	aayi	9
啊呀	aaya	9
啊哟	aayo	9
安安心心	aaxx	9
腌臜	aaza	9
爱不爱	abai	9
按兵不动	abbd	9
哀兵必胜	abbu	9
安邦定国	abdg	9
安步当车	abdi	9
阿鼻地狱	abdy	9
熬不过	abgo	9
阿布哈兹	abhz	9
矮半截	abjp	9
按部就班	abjb	9
阿波罗	ablo	9
爱别离苦	ablk	9
鞍不离马	ablm	9
爱不释手	abuu	9
熬不住	abvu	9
阿布扎比	abvb	9
按错了	acle	9
爱才若渴	acrk	9
爱财如命	acrm	9
暗藏杀机	acuj	9
暗藏玄机	acxj	9
爱答不理	adbl	9
安道尔	ader	9
暗渡陈仓	adic	9
按道理	adl	9
奥地利	adli	9
澳大利亚	adly	9
暗淡无光	adwg	9
安度晚年	adwn	9
阿尔卑斯	aebs	9
哀而不伤	aebu	9
阿尔巴尼亚	aeby	9
阿尔法	aefa	9
阿尔及利亚	aejy	9
阿尔及尔	aeje	9
爱尔兰	aelj	9
埃菲尔铁塔	afet	9
阿富汗	afhj	9
阿凡提	afti	9
安分守己	afuj	9
爱岗敬业	agjy	9
安哥拉	agla	9
阿根廷	agtk	9
熬更守夜	aguy	9
爱国者	agve	9
爱国主义	agvy	9
哀鸿遍野	ahby	9
昂贵	ahgv	9
昂起	ahqi	9
爱恨情仇	ahqi	8
盎然	ahrj	9
安好如初	ahri	9
盎司	ahsi	9
安徽省	ahug	9
昂首	ahuz	9
爱好者	ahve	9
昂扬	ahyh	9
肮脏	ahzh	9
矮矮	aiai	9
癌变	aibm	9
爱才	aicd	9
挨打	aida	9
哀悼	aidc	9
爱戴	aidd	9
挨饿	aiee	9
挨罚	aifa	9
爱抚	aifu	9
爱妃	aifw	9
爱国	aigo	9
哀告	aigc	9
挨个	aige	9
爱岗	aigh	9
爱好	aihc	9
爱河	aihe	9
爱恨	aihf	9
爱火	aiho	9
爱护	aihu	9
哀愁	aiiz	9
爱巢	aiic	9
爱称	aiig	9
爱吃	aiii	9
挨近	aijb	9
埃及	aiji	9
爱将	aijl	9
爱看	aikj	9
爱哭	aiku	9
隘口	aikz	9
艾灸	aijq	9
按常理	aili	9
矮了	aile	9
爱恋	ailm	9
爱侣	ailv	9
按常理来说	ailu	9
爱慕	aimu	9
挨骂	aima	9
哀鸣	aimk	9
暧昧	aimw	9
爱民	aimb	9
矮胖	aiph	9
爱情	aiqk	9
矮墙	aiql	9
哀切	aiqp	9
哀求	aiqq	9
爱人	airf	9
哀思	aisi	9
哀啼	aiti	9
哀叹	aitj	9
爱听	aitk	9
哀痛	aits	9
爱神	aiuf	9
爱上	aiuh	9
碍事	aiui	9
碍手	aiuz	9
挨着	aive	9
癌症	aivg	9
爱玩	aiwj	9
爱心	aixb	9
爱惜	aixi	9
矮小	aixn	9
暗潮汹涌	aixy	9
哎呀	aiya	9
爱意	aiyi	9
碍眼	aiyj	9
哎哟	aiyo	9
哀怨	aiyr	9
爱用	aiys	9
哀乐	aiyt	9
碍于	aiyu	9
艾叶	aiye	9
矮子	aizi	9
爱憎	aizg	9
阿昌族	aizu	9
挨揍	aizz	9
挨家挨户	ajah	9
挨肩擦背	ajcb	9
安静了	ajle	9
安家落户	ajlh	9
安居乐业	ajly	9
阿基米德	ajmd	9
暗箭难防	ajnf	9
氨基酸	ajsr	9
暗箭伤人	ajur	9
爱看不看	akbk	9
阿拉伯	albo	9
阿里巴巴	albb	9
爱理不理	albl	9
阿拉伯联合酋长国	albg	9
阿拉伯数字	albz	9
阿鲁巴	alba	9
阿拉丁	aldk	9
按劳分配	alfp	9
安理会	alhv	9
奥林匹克	alpk	9
阿联酋	alqq	9
按劳取酬	alqi	9
安乐死	alsi	9
按理说	aluo	9
阿里山	aluj	9
安乐窝	alwo	9
阿猫阿狗	amag	9
哀莫大于心死	amds	9
鞍马劳顿	amld	9
爱莫能助	amnv	9
爱民如子	amrz	9
阿姆斯特丹	amsd	9
爱美之心	amvx	9
挨门逐户	amvh	9
奥妙无穷	amwq	9
爱慕虚荣	amxr	9
安眠药	amyc	9
爱面子	amzi	9
暗暗	anan	9
安保	anbc	9
案板	anbj	9
岸边	anbm	9
按捺不住	anbv	9
